Event-Name,Event-Location,Event-Date,Event-Image,Event-Time,Event-Details
Winston Churchill: The Blitz,GE Theatre at Proctors,"Mar 15, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11443
The Temptations and The Four Tops,MainStage at Proctors,"Mar 17, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11441
Schenectady Symphony Orchestra,GE Theatre at Proctors,"Mar 24, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=10901
Film: Tragedy of King Richard the Second,GE Theatre at Proctors,"Mar 26, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11799
PB&J Cafe: Stuart Little,GE Theatre at Proctors,"Mar 29 - Mar 30, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11679
Cruel Intentions: The 90s Musical,MainStage at Proctors,"Mar 29, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11630
Pretty Much the Best Comedy Show – Mar. 30th,Proctors Theatre,"Mar 30, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11560
Peg + Cat – Live! SD,MainStage at Proctors,"Apr 05, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11343
Peg + Cat Live!,MainStage at Proctors,"Apr 05, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11439
Shakespeare in Love,Capital Repertory Theatre,"Apr 05 - May 12, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=10868
Two Left Feet,GE Theatre at Proctors,"Apr 06, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11570
Cirque Eloize Saloon,MainStage at Proctors,"Apr 06 - Apr 07, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11437
Word Plays: Shenanigans,Proctors Theatre,"Apr 07, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11754
Film: Bolshoi Ballet ENCORE: Golden Age,GE Theatre at Proctors,"Apr 09, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11346
Tap Dogs,MainStage at Proctors,"Apr 10, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11433
Passport Series: Mokoomba,GE Theatre at Proctors,"Apr 11, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11430
8th Annual Gospel Jubilee,MainStage at Proctors,"Apr 12, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11638
Capital Records Live!,GE Theatre at Proctors,"Apr 12, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11637
Golden Oldies Spectacular,MainStage at Proctors,"Apr 13, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11308
Dougie MacLean,GE Theatre at Proctors,"Apr 13, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11207
Film: Exhibition on Screen: Rembrandt,GE Theatre at Proctors,"Apr 16, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11514
Rock of Ages,MainStage at Proctors,"Apr 19 - Apr 20, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11435
Rochmon Presents Queen,GE Theatre at Proctors,"Apr 26, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11716
Pretty Much the Best Comedy Show – Apr. 27th,Proctors Theatre,"Apr 27, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11561
The Phantom of the Opera,MainStage at Proctors,"Apr 24 - May 05, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11283
Organ Concert Series,MainStage at Proctors,"Sep 11, 2018 - Jun 18, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11642
Schenectady Symphony Orchestra,MainStage at Proctors,"May 12, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11331
